Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
16.909,1,0.0252,0.0204,0.0324,44.0487,None,0.000,0.000
16.937,1,0.0271,0.0197,0.0335,162.5609,None,0.000,0.000
16.964,1,0.0290,0.0192,0.0347,136.7957,None,0.000,0.000
16.992,1,0.0299,0.0189,0.0354,178.4347,None,0.000,0.000
17.020,1,0.0305,0.0185,0.0357,210.2134,None,0.000,0.000
17.048,1,0.0315,0.0178,0.0362,96.4110,None,0.000,0.000
17.076,1,0.0321,0.0173,0.0365,183.9319,None,0.000,0.000
17.103,1,0.0325,0.0172,0.0368,27.7696,None,0.000,0.000
17.132,1,0.0331,0.0168,0.0371,119.2279,None,0.000,0.000
17.159,1,0.0334,0.0162,0.0371,78.2696,None,0.000,0.000
17.187,1,0.0337,0.0159,0.0372,183.7745,None,0.000,0.000
17.215,1,0.0340,0.0157,0.0375,83.5159,None,0.000,0.000
17.243,1,0.0339,0.0152,0.0371,170.6990,None,0.000,0.000
17.271,1,0.0338,0.0145,0.0367,127.7299,None,0.000,0.000
17.299,1,0.0341,0.0141,0.0369,125.9536,None,0.000,0.000
17.326,1,0.0343,0.0139,0.0370,106.7497,None,0.000,0.000
17.354,1,0.0343,0.0135,0.0369,67.8874,None,0.000,0.000
17.382,1,0.0342,0.0130,0.0366,16.6519,None,0.000,0.000
17.417,1,0.0340,0.0126,0.0363,86.9530,Orb Spawned,0.000,0.000
17.438,1,0.0339,0.0125,0.0361,22.2560,None,0.000,0.000
17.473,1,0.0337,0.0123,0.0359,28.1528,None,0.000,0.000
17.497,1,0.0334,0.0121,0.0355,49.8575,None,0.000,0.000
17.522,1,0.0332,0.0119,0.0353,66.3706,None,0.000,0.000
17.549,1,0.0332,0.0120,0.0353,24.6540,None,0.000,0.000
17.577,1,0.0328,0.0120,0.0350,107.3557,None,0.000,0.000
17.605,1,0.0315,0.0120,0.0337,82.3655,None,0.000,0.000
17.633,1,0.0285,0.0120,0.0309,120.1291,None,0.000,0.000
17.661,1,0.0236,0.0121,0.0265,95.8025,None,0.000,0.000
17.688,1,0.0179,0.0127,0.0219,141.4227,None,0.000,0.000
17.716,1,0.0122,0.0141,0.0186,278.8440,None,0.000,0.000
17.744,1,0.0075,0.0162,0.0178,298.1308,None,0.000,0.000
17.772,1,0.0040,0.0183,0.0187,187.6438,None,0.000,0.000
17.800,1,0.0014,0.0192,0.0192,513.3608,Movement Initiated,0.404,0.000
17.827,1,-0.0015,0.0201,0.0202,317.6257,None,0.000,0.000
17.856,1,-0.0038,0.0216,0.0219,182.3265,None,0.000,0.000
17.884,1,-0.0056,0.0233,0.0239,98.7239,None,0.000,0.000
17.911,1,-0.0066,0.0249,0.0258,202.8416,None,0.000,0.000
17.939,1,-0.0072,0.0262,0.0272,162.5010,None,0.000,0.000
17.967,1,-0.0075,0.0266,0.0277,156.4953,None,0.000,0.000
17.995,1,-0.0063,0.0271,0.0279,194.3377,Hit,0.000,0.209
18.023,1,-0.0053,0.0265,0.0270,328.6679,None,0.000,0.000
18.050,1,-0.0047,0.0250,0.0254,162.0813,None,0.000,0.000
18.078,1,-0.0057,0.0262,0.0268,761.1108,None,0.000,0.000
18.106,1,-0.0079,0.0277,0.0288,542.5266,None,0.000,0.000
18.134,1,-0.0097,0.0276,0.0293,764.6492,None,0.000,0.000
18.162,1,-0.0101,0.0269,0.0287,439.9753,None,0.000,0.000
18.190,1,-0.0100,0.0272,0.0289,424.4730,None,0.000,0.000
18.218,1,-0.0095,0.0285,0.0300,44.0843,None,0.000,0.000
18.245,1,-0.0082,0.0297,0.0308,165.0068,None,0.000,0.000
18.273,1,-0.0060,0.0289,0.0295,608.1445,None,0.000,0.000
18.302,1,-0.0020,0.0294,0.0295,535.2198,None,0.000,0.000
18.329,1,0.0014,0.0296,0.0297,728.1629,None,0.000,0.000
18.357,1,0.0059,0.0276,0.0282,976.6667,None,0.000,0.000
18.384,1,0.0107,0.0259,0.0280,334.9617,None,0.000,0.000
18.412,1,0.0145,0.0246,0.0286,736.2274,None,0.000,0.000
18.441,1,0.0186,0.0218,0.0287,676.3079,None,0.000,0.000
